trade_date,direction,entry_price,exit_price,pnl_points,mfe,risk_pts,range_flag,outcome
2020-11-09,LONG,12743.1,13121.0,1058.9,433.0,64.0,WIDE,BIG_WIN
2023-03-13,SHORT,15283.2,15071.3,560.8,240.0,91.5,WIDE,BIG_WIN
2022-04-21,LONG,14429.4,14510.2,167.6,104.4,34.2,NORMAL,BIG_WIN
2026-01-29,SHORT,24702.3,24637.8,118.6,92.0,52.0,WIDE,BIG_WIN
2020-06-23,LONG,12458.8,12521.3,112.5,92.9,41.7,NORMAL,BIG_WIN
2022-03-14,LONG,13911.4,13965.3,86.6,100.9,52.1,WIDE,BIG_WIN
2023-11-02,LONG,15108.3,15158.3,75.0,63.0,20.0,NORMAL,BIG_WIN
2023-01-02,LONG,13996.8,14026.2,63.3,49.5,17.6,NARROW,BIG_WIN
2023-02-22,SHORT,15322.3,15276.8,61.4,80.0,45.0,WIDE,BIG_WIN
2023-06-01,LONG,15810.9,15851.7,56.7,53.4,29.6,NORMAL,BIG_WIN
2023-04-20,SHORT,15811.8,15776.8,45.0,57.0,28.0,NORMAL,SMALL_WIN
2021-04-26,LONG,15295.8,15314.8,38.0,30.0,18.0,NARROW,SMALL_WIN
2021-01-28,SHORT,13439.8,13403.8,33.0,81.5,39.6,NORMAL,SMALL_WIN
2022-08-31,SHORT,12951.8,12930.9,16.8,49.6,44.5,WIDE,SMALL_WIN
2024-12-19,LONG,20037.9,20050.4,12.5,33.5,18.1,NARROW,SMALL_WIN
2022-01-12,SHORT,15981.8,15971.8,10.0,31.1,48.0,WIDE,SMALL_WIN
2022-02-18,LONG,15298.4,15304.8,6.4,19.9,33.1,NORMAL,SMALL_WIN
2020-09-22,LONG,12650.3,12665.4,5.2,37.4,36.2,NORMAL,SMALL_WIN
2020-05-15,LONG,10484.1,10488.3,4.2,17.5,21.8,NORMAL,SMALL_WIN
2023-02-16,LONG,15596.7,15597.9,2.3,22.0,14.5,NARROW,SMALL_WIN
2026-03-04,SHORT,23844.3,23831.8,0.0,32.0,40.5,NORMAL,BREAKEVEN
2022-08-29,LONG,12811.3,12823.8,0.0,45.0,42.5,NORMAL,BREAKEVEN
2021-03-12,SHORT,14510.8,14498.3,0.0,39.5,21.1,NORMAL,BREAKEVEN
2025-07-30,SHORT,24178.5,24166.0,0.0,38.0,22.5,NORMAL,BREAKEVEN
2021-11-30,SHORT,15098.3,15085.8,0.0,40.5,59.0,WIDE,BREAKEVEN
2020-05-13,SHORT,10605.1,10605.1,0.0,25.3,42.7,NORMAL,BREAKEVEN
2022-03-09,LONG,13332.3,13344.8,0.0,34.0,88.0,WIDE,BREAKEVEN
2022-09-14,SHORT,13090.7,13078.2,0.0,33.4,28.5,NORMAL,BREAKEVEN
2025-10-16,SHORT,24080.8,24068.3,0.0,34.0,40.0,NORMAL,BREAKEVEN
2022-03-24,LONG,14335.4,14347.9,0.0,43.4,24.6,NORMAL,BREAKEVEN
2020-07-09,SHORT,12600.6,12602.3,-1.7,15.8,24.5,NORMAL,TRAIL_LOSS
2025-08-12,SHORT,24069.8,24076.8,-7.0,19.0,31.5,NORMAL,TRAIL_LOSS
2025-01-02,LONG,19981.0,19972.1,-8.9,19.2,89.5,WIDE,TRAIL_LOSS
2023-07-03,LONG,16204.8,16195.7,-9.1,4.0,39.0,NORMAL,TRAIL_LOSS
2022-04-29,LONG,14140.3,14130.6,-9.7,6.0,55.0,WIDE,TRAIL_LOSS
2025-11-11,SHORT,23971.8,23984.3,-12.5,12.0,22.0,NORMAL,TRAIL_LOSS
2025-09-17,LONG,23452.9,23432.3,-20.6,0.0,20.6,NORMAL,TRAIL_LOSS
2026-01-09,SHORT,25110.8,25134.8,-24.0,3.0,24.0,NORMAL,TRAIL_LOSS
2025-10-31,SHORT,24023.3,24050.8,-27.5,7.9,27.5,NORMAL,TRAIL_LOSS
2022-09-28,SHORT,11919.8,11949.3,-29.5,0.0,29.5,NORMAL,TRAIL_LOSS
2022-12-27,LONG,14056.9,14041.4,-31.0,6.4,15.5,NARROW,FULL_LOSS
2020-02-05,SHORT,13235.9,13251.9,-32.0,0.0,16.0,NARROW,FULL_LOSS
2020-10-08,LONG,13036.9,13020.8,-32.3,10.9,16.1,NARROW,FULL_LOSS
2023-09-22,LONG,15531.9,15498.3,-33.6,0.0,33.6,NORMAL,FULL_LOSS
2022-12-12,SHORT,14265.8,14282.8,-33.9,0.0,17.0,NARROW,FULL_LOSS
2025-03-25,SHORT,22858.2,22892.2,-34.0,0.0,34.0,NORMAL,FULL_LOSS
2021-07-22,LONG,15550.8,15533.7,-34.1,10.0,17.1,NARROW,FULL_LOSS
2024-06-10,SHORT,18417.6,18456.1,-38.5,0.0,38.5,NORMAL,FULL_LOSS
2022-05-12,SHORT,13503.9,13549.4,-45.5,10.6,45.5,WIDE,FULL_LOSS
2025-04-14,SHORT,20772.8,20825.8,-53.0,0.0,53.0,WIDE,FULL_LOSS
